Food_Item,Category,Carbohydrates_g,Protein_g,Fat_g,Fiber_g,Calories,Total_Macros_g,Carbs_Protein_Ratio,Calorie_Density_Label
Jnane,Yogurt,15.0,3.8,3.2,0.0,102.0,22.0,3.947358033268334,Medium
Total 5% Fat Greek Yogurt,Yogurt,3.0,9.0,5.0,0.0,93.0,17.0,0.3333329629633745,Low
Skyr Nature,Yogurt,3.6,9.5,0.5,0.0,57.0,13.6,0.3789469695295058,Low
Skyr À Boire Goût Fruits Rouges,Yogurt,8.7,6.0,0.2,0.0,59.6,14.899999999999999,1.449997583337361,Low
À La Grecque Greek Style Nature-Natural,Yogurt,1.4,5.7,3.3,0.0,40.8,10.399999999999999,0.2456136041866593,Low
Ghilal Panaché,Yogurt,14.0,1.4,0.7,0.0,68.0,16.1,9.999928571938772,Low
Yaourts Brassés Aux Fruits Fraise,Yogurt,18.8,0.0,2.7,0.0,116.0,21.5,1880000.0,Medium
Skyr Natural Fat Free Icelandic Style Yogurt,Yogurt,4.0,10.0,0.5,0.0,60.0,14.5,0.3999996000004,Low
Ghilal,Yogurt,16.0,3.5,3.0,0.0,83.4,22.5,4.571415510241399,Low
Kiri 7.5G Protein Creamy Cheese With Fresh Yogurt Greek Style,Yogurt,4.0,7.5,18.0,0.0,208.0,29.5,0.5333326222231703,Medium
Greek 10% Fat Authentic Yogurt,Yogurt,4.6,5.9,10.0,0.0,132.0,20.5,0.7796596954920415,Medium
Danone 0%,Yogurt,8.1,3.4,0.1,0.0,48.2,11.6,2.382345934276664,Low
Brasse Abricot,Yogurt,18.0,3.5,2.8,0.0,107.0,24.3,5.1428424490215745,Medium
Brassé Ananas,Yogurt,18.0,3.5,2.8,0.0,107.0,24.3,5.1428424490215745,Medium
Yaourt De Chevre,Yogurt,16.0,4.0,3.0,0.0,108.0,23.0,3.9999900000250004,Medium
Yaourt À La Grecque Nature,Yogurt,3.3,3.3,8.9,0.0,107.0,15.5,0.9999969697061524,Medium
Organic Greek Yogurt Plain,Yogurt,4.12,10.59,0.0,0.0,58.8,14.71,0.3890459026950872,Low
Yaourt Ferme,Yogurt,15.5,3.8,3.0,0.0,100.0,22.3,4.078936634377278,Low
Greek Style Natural,Yogurt,4.9,4.5,8.3,0.0,25.6,17.700000000000003,1.08888646914118,Low
Yaourt Coco,Yogurt,15.5,3.8,3.0,0.0,100.0,22.3,4.078936634377278,Low
Albane,Yogurt,8.7,4.2,3.3,0.0,81.0,16.2,2.071423639467525,Low
Yaourt Brassé Sans Sucre,Yogurt,6.7,3.0,3.0,0.0,66.0,12.7,2.2333258889137038,Low
Yaourt Brassé Nature,Yogurt,4.7,3.9,3.3,0.0,64.0,11.899999999999999,1.2051251150638076,Low
Activia Bifidus Saveur Noix De Coco Sans Arome Artificiel 125 Gx 4,Yogurt,12.6,3.6,3.1,0.0,93.0,19.3,3.4999902778047836,Low
بروتين فراولة,Yogurt,7.4,8.5,0.6,0.0,70.0,16.5,0.8705872110738694,Low
Skyr Vanille,Yogurt,10.9,7.8,0.5,0.0,79.0,19.2,1.3974341058537105,Low
Jao! تروبيكال,Yogurt,11.2,2.6,1.2,0.0,66.0,14.999999999999998,4.307675739708693,Low
لينيا,Yogurt,7.0,4.9,0.0,0.0,48.0,11.9,1.4285685131254835,Low
Kefir,Yogurt,4.0,4.0,1.5,0.0,46.0,9.5,0.9999975000062501,Low
Yogo Fraise,Yogurt,55.14,1.99,6.9,6.3,95.0,64.03,27.708403475359418,Low
Le Yaourt Nature,Yogurt,8.0,4.2,3.3,0.0,78.0,15.5,1.9047573696253106,Low
Dessert Végétal Citron Vert,Yogurt,10.1,3.6,2.0,0.6,77.0,15.7,2.8055477623673264,Low
Skyr Bio Vanille,Yogurt,8.9,9.1,0.1,0.0,73.0,18.1,0.9780209032737328,Low
Kefir Yogurt Original,Yogurt,7.4,6.0,2.0,0.0,72.0,15.4,1.2333312777812038,Low
Greek Yogurt Nonfat Plain,Yogurt,4.0,9.5,0.0,0.0,52.9,13.5,0.4210521883661175,Low
Yaourt Stracciatella Jockey,Yogurt,18.1,4.9,6.9,0.2,155.0,29.9,3.6938700125101787,Medium
Douceur De Fromage,Yogurt,9.4,8.0,3.0,0.0,97.0,20.4,1.174998531251836,Low
Yogurt,Yogurt,4.9,4.2,3.8,0.0,72.0,12.900000000000002,1.1666638888955028,Low
Yaourt Nature À La Grecque 4X150G,Yogurt,3.5,2.9,8.5,0.5,102.0,14.9,1.2068923900262414,Medium
Linea 0% - Milk,Yogurt,0.0,3.1,0.0,0.0,32.0,3.1,0.0,Low
Skyr À Boire Fruits Exotiques,Yogurt,8.7,6.0,0.2,0.0,24.1,14.899999999999999,1.449997583337361,Low
6111126001858,Yogurt,15.0,3.5,2.9,0.0,100.1,21.4,4.285702040851311,Medium
Raspberry-Pomegranate Milk Product,Yogurt,6.0,10.0,0.3,0.0,65.0,16.3,0.5999994000006,Low
Smoozy,Yogurt,14.2,2.2,2.0,0.0,84.0,18.4,6.454516115835836,Low
Yaourt Nature,Yogurt,4.2,4.0,1.1,0.0,43.0,9.299999999999999,1.0499973750065625,Low
Greek Style Yogurt,Yogurt,4.2,3.7,7.5,0.0,99.0,15.4,1.135132067210629,Low
High Protein Quark Dessert Raspberry,Yogurt,3.4,12.6,0.4,0.4,68.0,16.4,0.26984105568170186,Low
Biscotti Allo Yogurt Dolcesenza,Yogurt,71.0,8.5,15.0,4.0,421.0,94.5,8.35293134949253,High
Yaourt Brassé Sport Mangue,Yogurt,5.4,8.5,0.6,0.0,61.0,14.5,0.6352933702430938,Low
Chergui,Yogurt,6.2,3.4,7.8,0.0,111.0,17.4,1.823524048458681,Medium
Actimel Original Nature,Yogurt,10.8,3.0,1.6,0.0,73.0,15.4,3.59998800004,Low
Yaourt Ferme Vanille,Yogurt,15.5,3.8,3.0,0.0,100.0,22.3,4.078936634377278,Low
6111126004347,Yogurt,13.0,3.2,2.9,0.0,90.9,19.099999999999998,4.062487304727172,Low
Raib Du Bled,Yogurt,12.4,3.9,3.3,0.0,93.0,19.6,3.179479026976854,Low
Greek Natural Yogurt 10% Fat,Yogurt,4.5,6.0,10.0,0.0,132.0,20.5,0.7499987500020834,Medium
Yaourt À La Vanille,Yogurt,14.0,3.0,3.0,0.0,95.0,20.0,4.666651111162962,Low
Yop Parfum Vanille,Yogurt,10.6,3.0,0.8,0.0,66.0,14.4,3.5333215555948145,Low
Pain De Mie Bio,Bread,47.0,8.1,4.2,4.9,268.0,59.300000000000004,5.80246197226917,Medium
14 Maxi Tranches Complet Sans Sucres Ajoutés,Bread,42.0,8.5,5.2,7.5,264.0,55.7,4.9411706574462855,Medium
Pain De Mie Bio Grandes Tranches Céréales & Graines 500G,Bread,46.0,8.6,8.3,5.1,303.0,62.900000000000006,5.3488309897314075,High
Harrys Brioche Tressee Nature Au Sucre Perle Sans Additifs 500G,Bread,49.0,8.6,13.0,4.5,356.0,70.6,5.697667793409543,High
Pain De Mie Grandes Tranches Toastiligne Complet,Bread,39.0,10.0,1.9,6.2,226.0,50.9,3.8999961000039,Medium
Tartines Céréales & Graines 450G,Bread,39.0,10.0,10.0,5.8,298.0,59.0,3.8999961000039,Medium
Biscottes 6 Céréales,Bread,67.0,13.0,7.6,5.2,392.9,87.6,5.153842189352162,High
Blé Complet Wraps,Bread,48.1,9.14,6.03,5.17,294.8,63.27,5.262576299150657,Medium
White Ciabattin,Bread,44.1,10.1,0.8,2.9,229.0,55.0,4.366332310562069,Medium
Krisprolls Complets,Bread,70.0,12.0,6.2,7.7,397.0,88.2,5.833328472226273,High
Grilletine Blé Complet,Bread,65.0,13.0,10.0,6.7,432.0,88.0,4.9999961538491124,High
Golden,Bread,76.0,6.3,14.5,0.2,461.0,96.8,12.063472915122357,High
Sliced White Sourdough Bread With Grains & Seeds,Bread,40.2,10.7,2.7,4.7,237.0,53.60000000000001,3.757005834573987,Medium
Maestro Cereale - Pain Aux Céréales Tranché,Bread,38.0,4.5,6.6,9.9,249.0,49.1,8.444425679054048,Medium
Fines Tartines Farine De Seigle,Bread,41.0,7.1,1.6,8.7,224.0,49.7,5.774639754028516,Medium
Proper Sourdough,Bread,46.4,9.7,0.7,3.0,237.8,56.8,4.783500223195647,Medium
Maestro Classic - Pain De Mie Tranché Nature,Bread,44.0,3.6,3.6,8.0,232.0,51.2,12.222188271699245,Medium
Tartines P’Tit Dej,Bread,44.0,10.0,4.3,6.2,270.0,58.3,4.3999956000044005,Medium
Biscottes,Bread,29.0,4.6,2.9,1.4,165.0,36.5,6.304334121012781,Medium
Pain Complet Seigle,Bread,37.0,4.6,1.3,10.0,198.0,42.9,8.043460775085272,Medium
Maestro Vital - Pain Aux Graines Tranché,Bread,36.0,4.5,9.2,8.8,262.0,49.7,7.999982222261729,Medium
Harrys Brioche Tranchee Pepites De Chocolat Sans Additif 485G,Bread,50.0,7.5,13.0,5.2,357.0,70.5,6.66665777778963,High
Seeded Sourdough Bread,Bread,42.93,8.62,3.79,5.52,244.8,55.339999999999996,4.980272644695308,Medium
Pain De Mie Bio Petites Tranches Complet & Levain Sans Sucres Ajoutés 280G,Bread,42.0,10.0,4.6,5.9,261.0,56.6,4.1999958000042,Medium
Pan De Molde Con 52% Centeno,Bread,35.0,10.0,7.8,7.5,265.0,52.8,3.4999965000035003,Medium
Jason'S Sourdough,Bread,44.8,9.33,1.09,3.58,116.7,55.22,4.801709751650855,Medium
Organic Bread 21 Whole Grains And Seeds,Bread,22.0,6.0,1.5,4.0,255.8,29.5,3.6666605555657408,Medium
Everyday White Rolls,Bread,48.8,10.0,0.7,1.8,245.0,59.5,4.87999512000488,Medium
Grilletine Froment,Bread,70.0,12.0,9.6,6.3,427.0,91.6,5.833328472226273,High
Harrys Pain De Mie Extra Moelleux Complet Sans Sucres Ajoutés 280G,Bread,47.0,8.0,4.6,6.0,273.0,59.6,5.87499265625918,Medium
Seed Sensations Seven Seeds,Bread,42.0,10.0,6.6,5.3,277.3,58.6,4.1999958000042,Medium
Original Crumpets,Bread,35.3,6.0,0.8,2.0,176.4,42.099999999999994,5.88332352779412,Medium
Weizen Toast,Bread,51.0,8.3,4.2,2.7,284.0,63.5,6.1445709101555295,Medium
Brioche Tressée Nature Allegée En Sucres Sans Additifs 450G,Bread,44.0,8.7,14.0,7.0,351.0,66.7,5.057465451189137,High
Petits Pains Grillés Blé Complet,Bread,66.0,10.0,10.0,6.9,408.0,86.0,6.5999934000066,High
Nyc Bagels The Original,Bread,49.5,9.2,2.5,3.3,229.0,61.2,5.3804289343163765,Medium
Tortillas Trigo,Bread,50.0,8.4,5.8,4.2,294.4,64.2,5.9523738662215875,Medium
Rye And Mixed Seed Sourdough Bread,Bread,42.6,9.0,3.8,6.8,203.3,55.4,4.733328074079918,Medium
Tortillas Sans Gluten,Bread,59.2,1.9,1.5,3.9,266.0,62.6,31.157730748785536,Medium
Biscottes Aixoises,Bread,72.0,12.0,6.0,4.4,410.0,90.0,5.999995000004167,High
Multiseed Wholemeal Farmhouse Loaf,Bread,34.2,12.8,7.5,7.4,270.0,54.5,2.6718729125992873,Medium
Unleavened Breads,Bread,76.9,10.6,0.8,3.5,364.0,88.3,7.254710137065909,High
Biscottes Au Blé Complet X36 Tranches De 300G,Bread,65.0,13.0,6.0,10.0,386.0,84.0,4.9999961538491124,High
Clasica / Classico,Bread,45.0,9.4,1.5,4.0,319.0,55.9,4.787228949756437,High
Sourdough,Bread,46.5,9.3,2.7,3.6,255.0,58.5,4.999994623661695,Medium
6111259347106,Bread,60.0,5.0,25.0,5.0,500.0,90.0,11.999976000048001,High
Pain Campagnard - Grandes Tranches,Bread,41.0,4.1,2.7,2.7,235.4,47.800000000000004,9.999975609815587,Medium
White Sourdough,Bread,44.6,9.4,0.7,4.5,252.5,54.7,4.74467580353638,Medium
Brioche Tranchée Skyr,Bread,49.0,8.1,12.0,4.3,104.2,69.1,6.04937524768488,Medium
Hand Finished Seeded Sourdough Bread,Bread,43.0,8.8,3.9,5.1,251.0,55.699999999999996,4.886358083683995,Medium
Wholemeal No Added Sugar,Bread,37.82,10.5,2.52,6.3,257.1,50.84,3.6019013315225417,Medium
Biscotte,Bread,72.0,13.0,5.4,6.2,401.0,90.4,5.538457278109786,High
White Sourdough Bread,Bread,43.4,7.5,2.8,4.7,240.4,53.699999999999996,5.786658951121399,Medium
8 Pains Au Chocolat Pur Beurre 400G,Bread,45.0,6.8,22.0,3.8,413.0,73.8,6.617637327003932,High
Dark Rye Sourdough,Bread,45.1,7.9,1.3,5.2,234.0,54.3,5.708853533096794,Medium
6 Tortilla Nature,Bread,53.8,7.5,10.2,1.0,340.0,71.5,7.173323768901642,High
Pain Campagnard Aux Graines - Grandes Tranches Aux Graines,Bread,47.0,4.5,5.3,8.5,270.0,56.8,10.44442123461948,Medium
4 Pains Pita À La Farine Complète,Bread,53.0,7.5,1.0,3.8,259.0,61.5,7.066657244457008,Medium
Pain Lait Bio* Nature X8 280G,Bread,51.0,9.4,11.0,2.4,345.0,71.4,5.4255261430572945,High
Tasty Wholemeal,Bread,37.75,10.0,1.75,6.75,220.0,49.5,3.774996225003775,Medium
Tiger Rolls With Sourdough,Bread,50.38,9.12,0.62,2.62,250.0,60.12,5.524116749871986,Medium
Sourdough Wholemeal Ciabatta,Bread,37.29,11.67,1.25,6.46,110.0,50.21,3.1953700125364075,Medium
Pain De Mie Bio Grandes Tranches À La Farine De Froment Sans Sucres Ajoutés 500G,Bread,48.0,7.6,6.3,3.5,286.0,61.9,6.3157811634458385,Medium
Tartine P'Tit Dej Nature Ssa 410 Gr,Bread,48.0,9.6,4.4,3.9,278.0,62.0,4.999994791672092,Medium
Original Toastie Soft & Sliced White Loaf,Bread,46.4,9.1,2.0,2.3,244.7,57.5,5.098895495719236,Medium
Organic Wholeblend Piadina,Bread,46.67,7.87,8.53,4.53,305.3,63.07,5.93010682324419,High
Original Seeded Batch,Bread,39.7,10.6,8.9,6.0,292.6,59.2,3.7452794855853915,Medium
Protein Thin Bagels,Bread,40.7,13.5,3.3,5.0,256.7,57.5,3.01481258162031,Medium
Pain Lait Bio* Far Complet X8 280G,Bread,49.0,9.4,13.0,4.2,359.0,71.4,5.212760411957008,High
Wholemeal Bread,Bread,37.72,10.49,2.23,6.47,232.9,50.44,3.5958021012372723,Medium
Snack Pipas,Bread,49.2,11.5,30.2,3.4,521.0,90.9,4.278257149341609,High
Pan De Molde Semillas & Pipas,Bread,38.0,11.0,9.3,5.7,290.2,58.3,3.454542314052442,Medium
Tartine P'Tit Dej Brioché,Bread,49.0,9.0,4.9,5.3,287.0,62.9,5.44443839506845,Medium
Multigraines,Bread,48.5,11.3,0.71,6.7,245.0,60.51,4.292031599972035,Medium
Pan Bauletto Integrale,Bread,38.0,11.0,6.8,8.2,275.0,55.8,3.454542314052442,Medium
Le Pain,Bread,40.0,8.1,2.1,7.2,226.0,50.2,4.9382655083141875,Medium
Petits Pains Grillés Au Blé Complet,Bread,68.0,12.0,6.3,6.3,414.0,86.3,5.6666619444483795,High
Biscottes 6 Cereales,Bread,60.0,12.0,7.3,6.0,412.0,79.3,4.999995833336806,High
4 Muffins Nature,Bread,43.0,10.0,1.2,2.4,228.0,54.2,4.2999957000043,Medium
Crackers,Bread,79.0,3.3,12.0,4.4,445.7,94.3,23.93932139599577,High
Pain Grillé À La Farine Complète,Bread,69.0,11.0,4.5,7.5,376.0,84.5,6.272721570253118,High
Pan De Molde Natural Trigo Espelta 100% Integral,Bread,38.0,12.0,4.1,7.4,240.0,54.1,3.166664027779977,Medium
Cream Cheese,Cheese,3.1,10.0,18.0,0.0,257.0,31.1,0.30999969000031,Medium
Cheddar,Cheese,6.0,9.0,21.0,0.0,270.0,36.0,0.666665925926749,Medium
Goldium Crémeux,Cheese,3.0,5.0,24.0,0.1,225.0,32.0,0.5999988000024,Medium
Frommage Fondu,Cheese,9.0,7.0,26.0,0.0,298.0,42.0,1.2857124489822158,Medium
Jebli,Cheese,6.9,6.5,19.0,0.0,225.0,32.4,1.0615368284048794,Medium
Le Blanc Nature 900G Araai,Cheese,4.9,4.9,23.5,0.0,234.7,33.3,0.9999979591878385,Medium
Jibal Jben,Cheese,6.14,2.5,11.5,0.0,138.0,20.14,2.4559901760392955,Medium
Fromage Herbes Milky Food,Cheese,4.0,4.8,21.0,0.0,228.0,29.8,0.8333315972258392,Medium
Tranches Au Goût Cheddar,Cheese,21.0,8.0,8.0,0.0,281.0,37.0,2.624996718754102,Medium
Frische Milch & Rahm / Lait Frais & Crème,Cheese,2.0,9.0,29.0,0.0,303.0,40.0,0.22222197530891633,High
L'Original Tartare Ail & Fines Herbes,Cheese,2.3,7.0,34.5,0.0,348.0,43.8,0.32857095918434404,High
Fromage De France,Cheese,0.8,15.0,30.0,0.0,339.4,45.8,0.053333297777801485,High
Philadelphia Original,Cheese,4.3,5.4,21.0,0.2,226.0,30.7,0.7962948216762561,Medium
Salakis 100% Brebis,Cheese,0.8,15.7,22.8,0.0,272.0,39.3,0.05095538155708182,Medium
Philadelphia Nature 300G,Cheese,3.3,4.5,21.0,0.2,220.0,28.8,0.7333317037073251,Medium
Cream-Cheese,Cheese,3.33,6.67,33.33,0.0,333.3,43.33,0.4992496263124044,High
Jben Chergui,Cheese,2.8,8.4,16.0,0.0,188.8,27.2,0.3333329365084089,Medium
لذيذ,Cheese,9.1,7.9,16.5,0.0,212.5,33.5,1.1518972760793973,Medium
كريميو,Cheese,9.5,8.0,20.0,0.0,248.0,37.5,1.1874985156268556,Medium
Fiocchi Di Latte,Cheese,2.8,11.5,4.5,0.0,98.0,18.8,0.24347804914952248,Low
Chèvre Piment D'Espelette,Cheese,52.0,6.3,31.0,4.8,522.0,89.3,8.25395515245214,High
Fromage Blanc Nature 3%,Cheese,3.3,7.5,3.0,0.0,70.0,13.8,0.4399994133341156,Low
Coulommiers Doux Et Crémeux,Cheese,1.0,18.0,23.0,0.0,283.0,42.0,0.055555524691375174,Medium
Or Blanc,Cheese,6.5,9.5,18.0,0.35,226.0,34.0,0.684209806094941,Medium
Original Doux & Crémeux,Cheese,6.0,10.0,21.0,0.0,253.0,37.0,0.5999994000006,Medium
Doritos Cheese,Cheese,61.0,6.8,22.0,5.5,480.0,89.8,8.970575043271996,High
Câlin Extra 0%,Cheese,7.8,6.5,0.1,0.1,61.0,14.4,1.199998153848994,Low
Boursin Ail & Fines Herbes,Cheese,3.0,8.5,37.0,0.0,385.0,48.5,0.35294076124616325,High
Fromage À Tartiner Ail & Fines Herbes,Cheese,2.2,9.0,32.0,0.0,333.0,43.2,0.244444172839808,High
Cottage Cheese,Cheese,1.61,12.0,3.72,0.0,87.8,17.33,0.1341665548612043,Low
Hollandis Class 16P,Cheese,5.0,10.0,24.0,0.0,287.0,39.0,0.49999950000050003,Medium
Full Fat Soft Cheese,Cheese,4.3,5.4,21.0,0.2,226.7,30.7,0.7962948216762561,Medium
Fondiz,Cheese,9.0,5.0,19.0,0.0,277.0,33.0,1.7999964000072002,Medium
Mozzarella Pizza-Roma,Cheese,2.5,21.0,21.0,0.0,283.0,44.5,0.11904756235830365,Medium
Fromage Blanc,Cheese,3.7,7.2,3.6,0.0,76.0,14.5,0.5138881751553124,Low
Jben Chergui *2,Cheese,2.8,8.4,16.0,0.0,188.8,27.2,0.3333329365084089,Medium
Kiri Carré 12P,Cheese,3.5,9.0,20.0,0.0,230.0,32.5,0.3888884567906036,Medium
Queso Feta,Cheese,1.0,16.0,23.2,0.0,276.7,40.2,0.06249996093752441,Medium
Campo Verde - Fromage,Cheese,11.0,3.5,17.0,0.0,211.0,31.5,3.142848163290962,Medium
Burrata,Cheese,1.8,10.0,23.0,0.67,203.2,34.8,0.17999982000018,Medium
Naturais 150G,Cheese,4.4,6.3,20.0,0.5,209.0,30.7,0.6984115898228734,Medium
Natural Cottage Cheese,Cheese,2.8,11.5,4.5,0.0,97.0,18.8,0.24347804914952248,Low
Muscly Fromage 24,Cheese,7.0,9.0,22.0,0.0,264.0,38.0,0.7777769135812072,Medium
Skyr Bio Nature,Cheese,3.9,10.0,0.2,0.0,57.0,14.1,0.38999961000039,Low
Garlic & Herbs,Cheese,3.0,8.5,39.0,0.1,385.0,50.5,0.35294076124616325,High
Ftoury Berger Duo,Cheese,4.0,6.0,20.0,0.0,225.0,30.0,0.6666655555574075,Medium
"Fromage Frais Nature 3,2% 4X100G",Cheese,3.9,7.2,3.2,0.0,73.2,14.3,0.5416659143528967,Low
Kiri 24P,Cheese,3.5,9.0,20.0,0.0,230.0,32.5,0.3888884567906036,Medium
Salakis Herbes De Provence,Cheese,0.8,14.6,25.8,0.0,293.0,41.2,0.05479448301747739,Medium
La Faisselle,Cheese,4.5,4.3,4.5,0.0,76.0,13.3,1.046509194164665,Low
Greek White Panetto,Cheese,11.0,0.0,29.0,0.0,306.7,40.0,1100000.0,High
Sauce Burger (Goût Cheese),Cheese,20.0,0.65,33.5,0.0,384.0,54.15,30.768757403732252,High
Fromage A Tartiner,Cheese,3.5,6.8,27.2,0.0,288.0,37.5,0.5147051254336391,Medium
Tarti'Bon Nature,Cheese,3.0,4.5,25.0,0.0,165.9,32.5,0.6666651851884774,Medium
Laty,Cheese,3.0,4.5,25.0,0.0,252.0,32.5,0.6666651851884774,Medium
La Faisselle White Cheese From The Countryside,Cheese,4.5,4.3,4.5,0.0,76.0,13.3,1.046509194164665,Low
Boursin® Onctueux Ail & Fines Herbes,Cheese,3.0,6.5,28.0,0.0,290.0,37.5,0.46153775148038234,Medium
Mozzarella,Cheese,2.0,17.0,18.0,0.0,220.0,37.0,0.11764698961941787,Medium
Fromage Blanc Au Lait Demi-Écrémé,Cheese,4.4,6.9,3.3,0.0,76.0,14.600000000000001,0.6376802352460359,Low
Le Brie,Cheese,0.5,17.0,31.0,0.23,347.0,48.5,0.029411747404854468,High
Le Fouetté De Brebis,Cheese,5.1,6.1,34.0,0.0,347.0,45.2,0.8360642031734374,High
Feta,Cheese,0.7,16.5,24.5,0.0,289.0,41.7,0.04242421671259593,Medium
Bio Cottage Cheese,Cheese,3.5,13.0,4.5,0.0,107.0,21.0,0.2692305621303368,Medium
Knorr Beef Flavored Buillon Cubes - 8 Cubes,Beef,0.5,0.5,0.5,0.0,3.0,1.5,0.9999800003999921,Low
Cube De Bouillon - Boeuf (Beef) - 8 Cubes,Beef,16.0,9.0,15.5,10.0,210.0,40.5,1.7777758024713306,Medium
Beef Flavour,Beef,9.0,1.4,3.8,0.0,76.0,14.2,6.428525510532068,Low
Le Parmentier De Boeuf Charolais Purée À La Crème Fraîche,Beef,9.7,9.2,6.5,1.2,137.0,25.4,1.0543466800579564,Medium
Bouillon Arôme Boeuf,Beef,16.0,9.0,15.5,10.0,210.0,40.5,1.7777758024713306,Medium
Steack Haché 15%,Beef,0.0,19.0,15.0,0.0,209.0,34.0,0.0,Medium
Cannelloni De Boeuf,Beef,10.0,10.0,9.0,1.3,165.0,29.0,0.9999990000010001,Medium
Boulettes De Viande Cuites Kefta,Beef,9.4,14.0,14.0,1.3,221.8,37.4,0.6714280918370773,Medium
Le Ravioli Bolognaise Sans Conservateur,Beef,11.0,4.5,4.3,1.3,103.0,19.8,2.4444390123577504,Medium
Hachis Parmentier,Beef,13.0,7.7,5.7,0.8,136.0,26.4,1.6883094957019538,Medium
Lasagnes À La Bolognaise,Beef,14.0,5.9,5.2,1.4,129.0,25.099999999999998,2.3728773341062133,Medium
Moussaka Surgelée,Beef,5.8,6.6,12.0,1.9,159.0,24.4,0.8787865472931102,Medium
Boulettes Au Bœuf Et Aux Oignons Crues,Beef,2.6,14.0,12.1,2.4,179.0,28.700000000000003,0.18571415306131925,Medium
Hamburguesa De Lomo De Vacuno,Beef,0.5,19.0,18.0,0.0,240.0,37.5,0.02631577562327599,Medium
Minis Original,Beef,0.0,4.0,3.0,0.0,321.4,7.0,0.0,High
Boulettes De Viande Cuites Recette Suédoise,Beef,7.7,14.0,17.0,0.2,243.0,38.7,0.5499996071431378,Medium
Parmentier De Boeuf Charolais,Beef,7.9,10.0,9.8,2.4,165.0,27.7,0.7899992100007901,Medium
Coup Noodles Beef,Beef,9.6,2.5,3.0,0.0,78.0,15.1,3.8399846400614397,Low
Oxo Beef,Beef,35.7,17.4,4.9,4.2,265.0,58.0,2.051722958779909,Medium
Carbonade Flamande Et Röstis De Pommes De Terre,Beef,13.0,8.2,5.2,1.7,134.0,26.4,1.5853639202879024,Medium
Chef Select Beef Lasagne,Beef,14.0,7.9,9.6,0.9,176.0,31.5,1.7721496555067653,Medium
Le Spécial À L'Oignon,Beef,5.0,13.8,12.7,1.0,192.0,31.5,0.36231857803001594,Medium
Corned Beef,Beef,0.5,21.0,15.0,0.0,221.0,36.5,0.02380951247166073,Medium
"Fondant De Bœuf Écrasé De Pommes De Terre, Sauce À La Basquaise",Beef,7.8,7.3,5.9,0.9,115.0,21.0,1.068491686997689,Medium
4 Biftecks Hachés Pur Bœuf 5%,Beef,0.5,22.0,4.6,0.5,130.0,27.1,0.02272726239669891,Medium
Blanquette De Veau Riz Et Champignons À La Crème,Beef,14.0,6.5,4.7,0.5,125.0,25.2,2.153842840241784,Medium
Blanquette De Veau Et Son Riz,Beef,13.0,8.2,2.3,0.8,107.0,23.5,1.5853639202879024,Medium
2 Steaks Hachés 5% M.G Bio,Beef,0.0,21.0,5.0,0.0,129.0,26.0,0.0,Medium
Boulettes À L’Italienne,Beef,7.0,13.0,13.0,1.6,197.0,33.0,0.5384611242606736,Medium
Sensational Burger Aus Sojaprotein,Beef,3.9,12.4,11.0,5.9,176.1,27.3,0.3145158753904231,Medium
"Ravioli, Pur Bœuf",Beef,11.0,3.3,2.4,1.4,83.0,16.7,3.3333232323538415,Low
Mon Moment Choucroute Aux 4 Charcuteries Au Riesling D'Alsace,Beef,4.3,5.9,8.6,1.9,122.0,18.799999999999997,0.7288123240469083,Medium
Intense Rich Beef,Beef,10.0,4.9,3.1,0.9,90.0,18.0,2.0408121616078336,Low
"Blanquette De Veau, Riz Crémeux Et Champignons Émincés",Beef,12.0,7.0,6.0,0.8,132.0,25.0,1.7142832653096212,Medium
Le Pur Bœuf 5% De M.G.,Beef,0.0,20.0,5.0,0.0,129.0,25.0,0.0,Medium
Lasagne Bolognaise,Beef,14.0,5.7,5.1,1.3,127.0,24.799999999999997,2.456136041866593,Medium
Hamburguesa De Vaca Madurada,Beef,0.5,17.0,20.0,0.0,250.0,37.5,0.029411747404854468,Medium
"Boulettes Kefta, Légumes Et Pâtes Orzo",Beef,12.0,6.1,8.7,2.0,156.0,26.8,1.967209889819853,Medium
Blanquette De Veau Aux Champignons & Riz,Beef,13.0,6.3,3.6,0.7,111.0,22.900000000000002,2.063488788113035,Medium
Boeuf Bourguignon Et Ses Pommes De Terre,Beef,7.9,6.7,1.2,1.4,72.0,15.8,1.1791027177571378,Low
Potts' Beef Stock,Beef,1.7,2.0,0.6,0.1,21.0,4.3,0.8499957500212498,Low
Ravioli Au Boeuf,Beef,4.2,3.2,2.2,1.1,52.0,9.600000000000001,1.3124958984503172,Low
Le Cannelloni (100 % Pur Bœuf),Beef,15.0,5.0,3.7,1.2,116.0,23.7,2.9999940000120002,Medium
Ravioli Pur Bœuf,Beef,13.0,3.8,2.3,0.8,91.0,19.1,3.421043628832556,Low
Steaks Haches Pur Boeuf 5% Surgeles,Beef,0.5,22.0,4.6,0.5,130.0,27.1,0.02272726239669891,Medium
Joue De Boeuf,Beef,0.7,21.0,4.4,0.5,126.0,26.1,0.033333317460325015,Medium
Beef Gravy,Beef,68.1,0.5,6.5,0.9,350.0,75.1,136.19727605447892,High
Ultra Moelleux*,Beef,0.6,16.0,15.0,0.5,200.0,31.6,0.03749997656251465,Medium
Steacks Hachés Le Pur Boeuf,Beef,0.0,22.0,5.0,0.0,133.0,27.0,0.0,Medium
