Food_Item,Category,Carbohydrates_g,Protein_g,Fat_g,Fiber_g,Calories
Brioche Tressée Nature Allegée En Sucres Sans Additifs 450G,Bread,44.0,8.7,14.0,7.0,351.0
Dark Rye Crispbread,Bread,67.62,10.48,0.95,14.29,404.8
Petits Pains Grillés Blé Complet,Bread,66.0,10.0,10.0,6.9,408.0
Nyc Bagels The Original,Bread,49.5,9.2,2.5,3.3,229.0
Organic Bread 21 Whole Grains And Seeds Thin-Sliced,Bread,50.0,10.71,3.57,10.71,206.9
Tortillas Trigo,Bread,50.0,8.4,5.8,4.2,294.4
Rye And Mixed Seed Sourdough Bread,Bread,42.6,9.0,3.8,6.8,203.3
Tortillas Sans Gluten,Bread,59.2,1.9,1.5,3.9,266.0
Biscottes Aixoises,Bread,72.0,12.0,6.0,4.4,410.0
Multiseed Wholemeal Farmhouse Loaf,Bread,34.2,12.8,7.5,7.4,270.0
Unleavened Breads,Bread,76.9,10.6,0.8,3.5,364.0
Biscottes Au Blé Complet X36 Tranches De 300G,Bread,65.0,13.0,6.0,10.0,386.0
Biscottes Braisées,Bread,59.0,14.0,5.6,14.0,370.0
Clasica / Classico,Bread,45.0,9.4,1.5,4.0,319.0
Sourdough,Bread,46.5,9.3,2.7,3.6,255.0
6111259347106,Bread,60.0,5.0,25.0,5.0,500.0
Pain Campagnard - Grandes Tranches,Bread,41.0,4.1,2.7,2.7,235.4
White Sourdough,Bread,44.6,9.4,0.7,4.5,252.5
Brioche Tranchée Skyr,Bread,49.0,8.1,12.0,4.3,104.2
Hand Finished Seeded Sourdough Bread,Bread,43.0,8.8,3.9,5.1,251.0
Wholemeal No Added Sugar,Bread,37.82,10.5,2.52,6.3,257.1
Pain Campagnard Sans Gluten,Bread,40.0,4.2,4.3,12.0,240.0
Biscotte,Bread,72.0,13.0,5.4,6.2,401.0
White Sourdough Bread,Bread,43.4,7.5,2.8,4.7,240.4
8 Pains Au Chocolat Pur Beurre 400G,Bread,45.0,6.8,22.0,3.8,413.0
Dark Rye Sourdough,Bread,45.1,7.9,1.3,5.2,234.0
6 Tortilla Nature,Bread,53.8,7.5,10.2,1.0,340.0
Pain Campagnard Aux Graines - Grandes Tranches Aux Graines,Bread,47.0,4.5,5.3,8.5,270.0
4 Pains Pita À La Farine Complète,Bread,53.0,7.5,1.0,3.8,259.0
Pain Lait Bio* Nature X8 280G,Bread,51.0,9.4,11.0,2.4,345.0
Tasty Wholemeal,Bread,37.75,10.0,1.75,6.75,220.0
Tiger Rolls With Sourdough,Bread,50.38,9.12,0.62,2.62,250.0
Sourdough Wholemeal Ciabatta,Bread,37.29,11.67,1.25,6.46,110.0
Tartines Au Seigle Et Graines De Sésame,Bread,61.0,11.0,6.2,14.0,372.0
Pain De Mie Bio Grandes Tranches À La Farine De Froment Sans Sucres Ajoutés 500G,Bread,48.0,7.6,6.3,3.5,286.0
Tartine P'Tit Dej Nature Ssa 410 Gr,Bread,48.0,9.6,4.4,3.9,278.0
Original Toastie Soft & Sliced White Loaf,Bread,46.4,9.1,2.0,2.3,244.7
Organic Wholeblend Piadina,Bread,46.67,7.87,8.53,4.53,305.3
Original Seeded Batch,Bread,39.7,10.6,8.9,6.0,292.6
Multigrain Crispbread,Bread,55.24,12.38,4.76,17.14,352.4
Protein Thin Bagels,Bread,40.7,13.5,3.3,5.0,256.7
Pain Lait Bio* Far Complet X8 280G,Bread,49.0,9.4,13.0,4.2,359.0
Crunchy Toasts Seigle Complet & Sésame,Bread,59.0,11.0,4.6,18.0,357.0
Wholemeal Bread,Bread,37.72,10.49,2.23,6.47,232.9
Snack Pipas,Bread,49.2,11.5,30.2,3.4,521.0
Pan De Molde Semillas & Pipas,Bread,38.0,11.0,9.3,5.7,290.2
Tartine P'Tit Dej Brioché,Bread,49.0,9.0,4.9,5.3,287.0
Multigraines,Bread,48.5,11.3,0.71,6.7,245.0
Pan Bauletto Integrale,Bread,38.0,11.0,6.8,8.2,275.0
Pan Tostado 100% Integral Bajo En Sal Y En Azúcares,Bread,61.0,17.7,5.7,10.9,388.0
Le Pain,Bread,40.0,8.1,2.1,7.2,226.0
Petits Pains Grillés Au Blé Complet,Bread,68.0,12.0,6.3,6.3,414.0
Biscottes 6 Cereales,Bread,60.0,12.0,7.3,6.0,412.0
4 Muffins Nature,Bread,43.0,10.0,1.2,2.4,228.0
Crackers,Bread,79.0,3.3,12.0,4.4,445.7
Pain Grillé À La Farine Complète,Bread,69.0,11.0,4.5,7.5,376.0
Tartines Croustillantes Au Seigle,Bread,66.0,10.0,1.8,15.0,350.0
Pan De Molde Natural Trigo Espelta 100% Integral,Bread,38.0,12.0,4.1,7.4,240.0
Cream Cheese,Cheese,3.1,10.0,18.0,0.0,257.0
Cheddar,Cheese,6.0,9.0,21.0,0.0,270.0
Goldium Crémeux,Cheese,3.0,5.0,24.0,0.1,225.0
Frommage Fondu,Cheese,9.0,7.0,26.0,0.0,298.0
Jebli,Cheese,6.9,6.5,19.0,0.0,225.0
Le Blanc Nature 900G Araai,Cheese,4.9,4.9,23.5,0.0,234.7
Jibal Jben,Cheese,6.14,2.5,11.5,0.0,138.0
Fromage Herbes Milky Food,Cheese,4.0,4.8,21.0,0.0,228.0
Tranches Au Goût Cheddar,Cheese,21.0,8.0,8.0,0.0,281.0
Frische Milch & Rahm / Lait Frais & Crème,Cheese,2.0,9.0,29.0,0.0,303.0
L'Original Tartare Ail & Fines Herbes,Cheese,2.3,7.0,34.5,0.0,348.0
Fromage De France,Cheese,0.8,15.0,30.0,0.0,339.4
Philadelphia Original,Cheese,4.3,5.4,21.0,0.2,226.0
Salakis 100% Brebis,Cheese,0.8,15.7,22.8,0.0,272.0
Philadelphia Nature 300G,Cheese,3.3,4.5,21.0,0.2,220.0
Cream-Cheese,Cheese,3.33,6.67,33.33,0.0,333.3
Jben Chergui,Cheese,2.8,8.4,16.0,0.0,188.8
لذيذ,Cheese,9.1,7.9,16.5,0.0,212.5
كريميو,Cheese,9.5,8.0,20.0,0.0,248.0
Fiocchi Di Latte,Cheese,2.8,11.5,4.5,0.0,98.0
Chèvre Piment D'Espelette,Cheese,52.0,6.3,31.0,4.8,522.0
Fromage Blanc Nature 3%,Cheese,3.3,7.5,3.0,0.0,70.0
Coulommiers Doux Et Crémeux,Cheese,1.0,18.0,23.0,0.0,283.0
Or Blanc,Cheese,6.5,9.5,18.0,0.35,226.0
Original Doux & Crémeux,Cheese,6.0,10.0,21.0,0.0,253.0
Doritos Cheese,Cheese,61.0,6.8,22.0,5.5,480.0
Câlin Extra 0%,Cheese,7.8,6.5,0.1,0.1,61.0
Boursin Ail & Fines Herbes,Cheese,3.0,8.5,37.0,0.0,385.0
Emmental Français Sans Additif,Cheese,0.5,28.0,30.0,0.0,382.0
Fromage À Tartiner Ail & Fines Herbes,Cheese,2.2,9.0,32.0,0.0,333.0
Cottage Cheese,Cheese,1.61,12.0,3.72,0.0,87.8
Hollandis Class 16P,Cheese,5.0,10.0,24.0,0.0,287.0
Full Fat Soft Cheese,Cheese,4.3,5.4,21.0,0.2,226.7
Fondiz,Cheese,9.0,5.0,19.0,0.0,277.0
Mozzarella Pizza-Roma,Cheese,2.5,21.0,21.0,0.0,283.0
Fromage Blanc,Cheese,3.7,7.2,3.6,0.0,76.0
Emmental Râpé,Cheese,0.5,27.0,29.0,0.5,371.0
Fromage Edam,Cheese,0.0,26.0,24.0,0.0,324.0
Jben Chergui *2,Cheese,2.8,8.4,16.0,0.0,188.8
Kiri Carré 12P,Cheese,3.5,9.0,20.0,0.0,230.0
Queso Feta,Cheese,1.0,16.0,23.2,0.0,276.7
Campo Verde - Fromage,Cheese,11.0,3.5,17.0,0.0,211.0
Comté,Cheese,0.5,26.0,34.0,0.0,410.0
Burrata,Cheese,1.8,10.0,23.0,0.67,203.2
Naturais 150G,Cheese,4.4,6.3,20.0,0.5,209.0
Natural Cottage Cheese,Cheese,2.8,11.5,4.5,0.0,97.0
Muscly Fromage 24,Cheese,7.0,9.0,22.0,0.0,264.0
Skyr Bio Nature,Cheese,3.9,10.0,0.2,0.0,57.0
Garlic & Herbs,Cheese,3.0,8.5,39.0,0.1,385.0
Ftoury Berger Duo,Cheese,4.0,6.0,20.0,0.0,225.0
"Fromage Frais Nature 3,2% 4X100G",Cheese,3.9,7.2,3.2,0.0,73.2
Kiri 24P,Cheese,3.5,9.0,20.0,0.0,230.0
Salakis Herbes De Provence,Cheese,0.8,14.6,25.8,0.0,293.0
La Faisselle,Cheese,4.5,4.3,4.5,0.0,76.0
Greek White Panetto,Cheese,11.0,0.0,29.0,0.0,306.7
Sauce Burger (Goût Cheese),Cheese,20.0,0.65,33.5,0.0,384.0
Emmental Francese,Cheese,0.5,27.0,29.0,0.0,369.0
Fromage A Tartiner,Cheese,3.5,6.8,27.2,0.0,288.0
Tarti'Bon Nature,Cheese,3.0,4.5,25.0,0.0,165.9
Laty,Cheese,3.0,4.5,25.0,0.0,252.0
La Faisselle White Cheese From The Countryside,Cheese,4.5,4.3,4.5,0.0,76.0
Boursin® Onctueux Ail & Fines Herbes,Cheese,3.0,6.5,28.0,0.0,290.0
Mozzarella,Cheese,2.0,17.0,18.0,0.0,220.0
Fromage Blanc Au Lait Demi-Écrémé,Cheese,4.4,6.9,3.3,0.0,76.0
Le Brie,Cheese,0.5,17.0,31.0,0.23,347.0
Comté 15 Mois,Cheese,0.0,27.0,35.0,0.0,418.0
Le Fouetté De Brebis,Cheese,5.1,6.1,34.0,0.0,347.0
Feta,Cheese,0.7,16.5,24.5,0.0,289.0
Bio Cottage Cheese,Cheese,3.5,13.0,4.5,0.0,107.0
Knorr Beef Flavored Buillon Cubes - 8 Cubes,Beef,0.5,0.5,0.5,0.0,3.0
Cube De Bouillon - Boeuf (Beef) - 8 Cubes,Beef,16.0,9.0,15.5,10.0,210.0
Beef Flavour,Beef,9.0,1.4,3.8,0.0,76.0
Le Parmentier De Boeuf Charolais Purée À La Crème Fraîche,Beef,9.7,9.2,6.5,1.2,137.0
Bouillon Arôme Boeuf,Beef,16.0,9.0,15.5,10.0,210.0
Steack Haché 15%,Beef,0.0,19.0,15.0,0.0,209.0
Cannelloni De Boeuf,Beef,10.0,10.0,9.0,1.3,165.0
Bovril Beef,Beef,13.0,37.0,1.1,0.6,250.0
Boulettes De Viande Cuites Kefta,Beef,9.4,14.0,14.0,1.3,221.8
Le Ravioli Bolognaise Sans Conservateur,Beef,11.0,4.5,4.3,1.3,103.0
Hachis Parmentier,Beef,13.0,7.7,5.7,0.8,136.0
Lasagnes À La Bolognaise,Beef,14.0,5.9,5.2,1.4,129.0
Moussaka Surgelée,Beef,5.8,6.6,12.0,1.9,159.0
Boulettes Au Bœuf Et Aux Oignons Crues,Beef,2.6,14.0,12.1,2.4,179.0
Hamburguesa De Lomo De Vacuno,Beef,0.5,19.0,18.0,0.0,240.0
Minis Original,Beef,0.0,4.0,3.0,0.0,321.4
Boulettes De Viande Cuites Recette Suédoise,Beef,7.7,14.0,17.0,0.2,243.0
Parmentier De Boeuf Charolais,Beef,7.9,10.0,9.8,2.4,165.0
Coup Noodles Beef,Beef,9.6,2.5,3.0,0.0,78.0
Viande Des Grisons,Beef,0.2,40.0,4.1,0.0,197.0
Oxo Beef,Beef,35.7,17.4,4.9,4.2,265.0
Carbonade Flamande Et Röstis De Pommes De Terre,Beef,13.0,8.2,5.2,1.7,134.0
Chef Select Beef Lasagne,Beef,14.0,7.9,9.6,0.9,176.0
Le Spécial À L'Oignon,Beef,5.0,13.8,12.7,1.0,192.0
Corned Beef,Beef,0.5,21.0,15.0,0.0,221.0
"Fondant De Bœuf Écrasé De Pommes De Terre, Sauce À La Basquaise",Beef,7.8,7.3,5.9,0.9,115.0
4 Biftecks Hachés Pur Bœuf 5%,Beef,0.5,22.0,4.6,0.5,130.0
Beef Stick Mini,Beef,0.0,28.57,21.43,0.0,285.7
Blanquette De Veau Riz Et Champignons À La Crème,Beef,14.0,6.5,4.7,0.5,125.0
Beef Jerky,Beef,20.0,35.0,3.5,0.0,253.0
Mr Beast Beef Jerky Original,Beef,20.0,35.0,3.5,0.0,253.0
Blanquette De Veau Et Son Riz,Beef,13.0,8.2,2.3,0.8,107.0
2 Steaks Hachés 5% M.G Bio,Beef,0.0,21.0,5.0,0.0,129.0
Boulettes À L’Italienne,Beef,7.0,13.0,13.0,1.6,197.0
Sensational Burger Aus Sojaprotein,Beef,3.9,12.4,11.0,5.9,176.1
"Ravioli, Pur Bœuf",Beef,11.0,3.3,2.4,1.4,83.0
Beef,Beef,0.0,31.25,21.88,0.0,312.5
Mon Moment Choucroute Aux 4 Charcuteries Au Riesling D'Alsace,Beef,4.3,5.9,8.6,1.9,122.0
Intense Rich Beef,Beef,10.0,4.9,3.1,0.9,90.0
"Blanquette De Veau, Riz Crémeux Et Champignons Émincés",Beef,12.0,7.0,6.0,0.8,132.0
Le Pur Bœuf 5% De M.G.,Beef,0.0,20.0,5.0,0.0,129.0
Lasagne Bolognaise,Beef,14.0,5.7,5.1,1.3,127.0
Hamburguesa De Vaca Madurada,Beef,0.5,17.0,20.0,0.0,250.0
"Boulettes Kefta, Légumes Et Pâtes Orzo",Beef,12.0,6.1,8.7,2.0,156.0
Blanquette De Veau Aux Champignons & Riz,Beef,13.0,6.3,3.6,0.7,111.0
Boeuf Bourguignon Et Ses Pommes De Terre,Beef,7.9,6.7,1.2,1.4,72.0
Viande De Bœuf Séchée,Beef,0.5,36.0,4.5,0.19,187.0
Cecina,Beef,0.8,35.0,7.0,0.0,206.0
Potts' Beef Stock,Beef,1.7,2.0,0.6,0.1,21.0
Ravioli Au Boeuf,Beef,4.2,3.2,2.2,1.1,52.0
Le Cannelloni (100 % Pur Bœuf),Beef,15.0,5.0,3.7,1.2,116.0
Beef Jerky Original,Beef,20.0,35.0,3.5,0.0,253.0
Ravioli Pur Bœuf,Beef,13.0,3.8,2.3,0.8,91.0
Steaks Haches Pur Boeuf 5% Surgeles,Beef,0.5,22.0,4.6,0.5,130.0
Joue De Boeuf,Beef,0.7,21.0,4.4,0.5,126.0
Beef Gravy,Beef,68.1,0.5,6.5,0.9,350.0
Original Beef Stick,Beef,0.0,31.25,21.88,0.0,312.5
Ultra Moelleux*,Beef,0.6,16.0,15.0,0.5,200.0
Steacks Hachés Le Pur Boeuf,Beef,0.0,22.0,5.0,0.0,133.0
Cacahir Goût Boeuf,Beef,9.5,9.1,10.8,0.0,172.0
Ravioli Pur Boeuf,Beef,12.0,4.0,2.0,1.5,85.0
Beef Jerky Teriyaki 25G Jack Link\'S,Beef,24.0,35.0,3.7,0.0,270.0
Spaghetti À La Bolognaise,Beef,17.0,7.0,7.1,1.4,163.0
Beef Luncheon Meat,Beef,0.2,14.4,18.7,0.0,256.0
Pizza Crust - Mythic,Beef,23.0,11.0,6.6,3.4,203.0
Lasagnes À La Bolognaise À L'Emmental,Beef,13.0,6.4,6.9,1.6,142.0
Moussaka Au Boeuf,Beef,5.4,4.6,7.3,1.9,110.0
Beef Stock Cubes,Beef,0.5,0.5,0.5,0.5,6.0
Cheese & Onion Flavour Potato Rings,Beef,64.0,3.6,25.0,2.6,499.9
Boeuf Haché,Beef,0.5,16.2,15.0,3.0,208.0
Beef Jerky Sweet & Hot,Beef,26.0,35.0,3.7,0.0,278.0
Bœuf Bourguignon Torsades,Beef,14.0,8.5,4.4,0.9,131.3
Steak Haché 5% Jean Rozé 400G Vbf,Beef,0.1,21.0,5.0,0.0,129.4
Steaks Hachés Pur Boeuf 15% - 10X100G Boîte,Beef,0.0,19.0,15.0,0.0,211.0
Burger Le Charolais Boeuf Emmental,Beef,28.0,13.0,15.0,0.0,301.0
"Ultra Moelleux À L'Oignon* *Préparation À 51 % De Viande Bovine Hachée Avec Protéines Végétales De Soja, Assaisonnée À L'Oignon, Crue, Surgelée.",Beef,5.0,14.0,13.0,1.8,193.0
Bresaola Valtellina Igp,Beef,0.5,34.0,2.0,0.0,154.0
Pizza Del Gusto Orientale,Beef,29.0,8.3,9.1,2.7,237.0
British Beef Lean Steak Mince - 5% Fat,Beef,0.0,21.9,4.9,0.0,132.0
Steak Haché 15% Jean Rozé 1Kg Vbf,Beef,0.2,19.0,15.0,0.0,211.8
Brochettes De Boeuf Au Fromage Et Sauce Soja Sucrée,Beef,1.5,23.0,22.0,0.5,297.0
Le 100% Pur Bœuf (5% Mg),Beef,0.0,21.0,5.0,0.0,131.0
Landsalami Bio,Beef,1.0,20.0,32.0,1.0,374.0
Viande Hachée Pur Boeuf Prête À Cuisiner,Beef,0.0,20.0,14.0,0.0,208.0
Beef Mince,Beef,0.5,31.0,4.7,0.5,168.0
Perly,Milk,9.4,8.0,3.0,0.0,97.0
Uht Jaouda 1L,Milk,4.8,3.0,3.0,0.0,58.0
Fromage Frais Nature,Milk,4.2,7.6,6.0,0.0,101.0
كيفير,Milk,4.8,3.0,2.5,0.0,53.6
Salim,Milk,4.8,3.0,3.0,0.0,58.0
Oat No Sugars,Milk,6.4,0.8,1.5,0.7,44.0
Avoine - Boisson Biologique,Milk,7.0,0.5,1.5,0.5,45.0
شييزلي,Milk,2.0,9.0,20.0,0.1,225.0
"Boisson À L'Amande, Sans Sucres",Milk,0.0,0.5,1.2,0.2,14.0
Croissance Réduit En Sucre,Milk,7.7,2.5,2.6,0.0,64.0
Le Bon Lait,Milk,4.9,3.0,1.5,0.0,46.0
La Vache Qui Rit,Milk,3.8,13.25,31.33,0.0,379.5
Protein Bars Cocoa Hazelnut,Milk,32.6,16.1,21.7,15.4,424.4
Lait Sans Lactose,Milk,4.7,3.0,3.0,0.0,58.2
Protein Nut Bar Fruit & Chocolate,Milk,22.9,25.6,30.1,13.6,428.6
Salim Lben 440G,Milk,5.9,2.3,0.7,0.0,39.5
Natural Coconut Cream,Milk,0.0,0.0,4.0,0.0,35.0
Danup Fraise,Milk,10.1,1.75,1.28,0.0,246.0
Viva Lait 1/2 Écrémé,Milk,4.8,3.3,1.0,0.0,41.0
Crème De Coco Légère,Milk,5.8,1.2,16.0,1.1,174.0
Toblerone,Milk,61.0,5.6,28.0,2.4,529.0
Skyr,Milk,3.9,10.0,0.2,0.0,57.5
Lait 100 % Français Matin Léger® Demi-Écrémé,Milk,4.8,3.3,1.2,0.0,43.0
Coco Sans Sucres,Milk,0.8,0.6,1.4,0.5,18.0
Le Petit Pot De Crème Au Chocolat,Milk,17.6,4.7,9.9,1.6,179.0
Lait Amande Calcium,Milk,1.7,0.7,1.7,0.5,26.0
Lait Uht Entier,Milk,4.8,3.0,3.0,0.0,58.0
Buttery,Milk,0.5,0.5,75.0,0.0,677.0
Lait Vit D,Milk,4.8,3.3,1.5,0.0,46.0
Kinder Chocolate,Milk,54.4,8.7,35.0,0.8,544.9
Soja Nature Sans Sucres,Milk,0.5,4.7,2.6,0.0,43.0
Twix,Milk,65.0,4.6,24.0,1.62,492.0
جبن طازج,Milk,3.7,0.0,4.5,0.0,85.3
Coconut Milk,Milk,2.6,1.7,17.0,0.0,170.0
Coconut And Rice Milk,Milk,2.8,0.0,0.9,0.0,19.0
Berry Delight Bars,Milk,57.0,6.7,12.0,8.7,380.0
Rice Krispies,Rice,86.0,7.0,1.2,2.9,390.0
St Jacques Fondue De Poireaux & Riz Basmati,Rice,16.0,5.8,6.2,0.6,144.0
Rice Crackers Sea Salt,Rice,82.0,6.9,8.0,0.8,429.0
Vermicelles De Riz,Rice,30.72,2.24,0.64,0.64,133.7
Teriyaki Riz Façcon Teriyaki Légumes & Gingembre,Rice,21.0,5.6,4.8,5.9,161.0
Riz Provencal,Rice,18.0,4.0,4.5,1.5,132.0
Riz Au Curry Et Légumes,Rice,33.0,3.6,3.7,1.7,168.0
Poulet🐔 Au Curry Et Noix De Coco 🥥,Rice,10.0,6.3,2.5,1.1,90.0
Rice Drink,Rice,13.0,0.5,1.3,0.0,65.0
Gallette Di Riso - Cioccolato Al Latte,Rice,59.88,7.19,24.55,2.99,499.0
Korean Style Sticky Chicken With Jasmine Rice,Rice,49.8,8.2,26.8,1.8,116.5
Spanish Style Grains,Rice,31.0,4.8,1.9,4.3,167.0
Riz Aux Champignons De Paris,Rice,30.0,3.4,2.1,1.4,157.0
Gourmand & Végétal Riz Au Lait De Coco,Rice,18.7,1.2,3.9,0.0,115.0
5 Glorious Grains,Rice,32.0,5.5,2.8,4.0,162.0
Galette Riz Chocolat Noir,Rice,67.0,8.3,17.0,4.5,463.0
Duo De Poissons Riz Cuisiné Sauce Beurre Citron,Rice,16.0,5.0,4.9,1.1,130.0
Schoko Reis Waffeln,Rice,64.0,10.0,14.0,8.6,439.0
Pure Basmati Rice,Rice,28.2,2.9,1.9,0.7,143.2
Rice Cracker Paprika,Rice,81.0,6.3,8.2,1.7,426.0
Rice Pudding,Rice,15.6,3.1,2.0,0.5,93.0
Rice Basmati,Rice,77.0,8.7,0.8,0.4,351.0
"Saumon Aux Épices Tandoori, Riz Noir Et Petits Légumes",Rice,12.0,6.4,2.6,2.1,99.0
Riz Aux Légumes Du Soleil,Rice,29.0,3.3,2.2,1.2,151.0
Poulet Curry Riz Basmati,Rice,15.15,6.06,5.76,0.7,139.1
Wholegrain Basmati Rice,Rice,23.3,2.8,2.1,3.0,129.6
Riz Complet,Rice,75.0,7.4,2.4,1.8,355.0
Riz,Rice,74.0,7.7,2.6,2.8,375.0
Arroz Integral Largo,Rice,72.0,7.6,2.8,3.3,350.0
Rice And Corn Cakes,Rice,78.1,8.57,5.71,3.81,409.5
Tortitas De Arroz Con Chocolate Blanco,Rice,63.0,7.33,20.0,3.0,466.7
Galette De Maïs Chocolat Noir,Rice,61.0,7.1,23.0,6.3,489.0
Riz Au Lait,Rice,18.0,3.4,6.6,0.0,160.0
Balaji Wafers Sev Murmura,Rice,60.6,10.9,23.4,5.0,507.0
Rice Snaps,Rice,84.8,7.9,1.3,1.6,390.8
Taureau Aile Doypack Basmati Curry Vert 220G,Rice,28.0,2.8,2.4,1.3,147.0
Rice Crackers Fromage,Rice,79.0,7.8,10.0,0.5,442.0
Riz Pour Risotto,Rice,78.0,7.4,0.9,1.1,352.0
Basmati & Wild Rice,Rice,23.28,3.12,2.64,3.04,107.1
Arroz Redondo,Rice,75.0,8.2,1.0,0.0,344.0
Cheeky Chocolate Chip Rice & Corn Cakes,Rice,73.0,6.1,5.7,9.9,428.6
"Rougail Saucisse, Riz Blanc Et Lentilles Cuisinés",Rice,13.0,6.3,4.6,2.5,125.1
Rice Box Poulet Tikka Massala Riz Basmati,Rice,16.0,6.2,5.1,0.5,136.1
Rice Cakes,Rice,82.0,7.8,3.2,2.4,393.0
Brown Rice Cakes,Rice,79.0,9.8,4.3,3.3,400.0
Arroz Integral Con Quinoa,Rice,34.0,4.9,5.4,2.9,206.4
Riz Tikka Massala,Rice,17.0,7.4,4.8,5.4,152.0
Arroz Gigala,Rice,80.0,6.1,0.7,0.0,354.0
Konjac Rice,Rice,1.2,0.1,0.0,3.2,5.5
Lunch Bowl Riz & Haricots 250G,Rice,22.0,4.2,3.4,3.7,143.0
Choco Rice,Rice,81.0,7.1,2.0,5.3,381.0
Risotto Tradition,Rice,77.3,6.9,1.0,1.0,348.0
Arroz Cigala,Rice,78.6,6.0,1.0,0.0,353.0
High Protein Milchreis - Klassik,Rice,10.4,7.7,2.3,0.1,93.0
Snack A Jacks Rice & Corn Cakes,Rice,84.62,6.15,1.54,11.54,384.6
Galettes De Riz Nappées Au Chocolat Noir,Rice,59.0,7.5,24.0,6.6,495.0
Extra Thick Sliced White Bread With A Wheat And Rice Topping,Rice,46.13,10.13,2.4,2.13,272.0
Arroz Con Leche,Rice,22.7,3.1,3.7,0.1,138.0
Classic Wholegrain Rice,Rice,30.96,4.08,2.08,6.4,169.6
Taureau Aile Doypack Basmati Citron 220G,Rice,27.0,2.8,2.3,0.6,141.0
Poulet Curry Et Lait De Coco,Rice,18.0,6.9,5.9,0.9,155.0
Ta Riz Med 800G C20,Rice,78.0,7.4,0.9,1.1,352.0
Riz Parfumé,Rice,78.0,8.1,0.8,0.9,353.0
Puffreis Mit Schokolade,Rice,59.0,5.6,30.0,0.0,533.0
Bio Rice Drink Almond,Rice,12.8,0.5,1.9,0.0,70.0
Rice Crackers Sel & Vinaigre,Rice,82.0,6.8,8.0,0.9,429.0
Golden Vegetable,Rice,29.0,3.2,2.2,1.3,150.9
Organic Quinoa & Brown Rice With Garlic,Rice,53.0,5.0,4.5,5.0,280.0
Riz Façon Basquaise,Rice,13.0,6.0,3.2,3.4,112.0
Special K The Original,Rice,84.0,8.0,1.3,6.0,392.0
Rice Crispies Multigrain Shapes,Rice,83.33,7.5,3.1,7.5,396.7
Microwave Basmati Rice,Rice,27.6,3.1,0.7,1.4,132.0
Rice Crispies,Rice,86.0,7.0,1.2,2.9,389.0
Taureau Aile Doypack Basmati Garam Masala 220G,Rice,27.0,2.9,2.4,3.6,148.0
Coco Pops,Rice,84.0,6.3,1.9,3.8,386.0
"Chocolate Flavoured Oat, Maize And Brown Rice Hoops Sweetened With Date Syrup",Rice,83.0,9.0,3.0,5.0,406.7
High Protein Rice Pudding Choco-Banana,Rice,10.0,7.7,2.4,0.2,92.5
Riz Parfumé Gourmand & Subtil,Rice,78.0,8.1,0.8,0.9,353.0
Crunchmaster Multi-Grain 6-Seed Crunchy Baked Rice Crackers,Rice,73.33,10.0,13.33,6.67,433.3
Rice Cakes Salted,Rice,72.86,8.57,2.86,7.14,373.1
Riz Cuisiné À L'Espagnole,Rice,26.0,3.8,5.6,2.3,176.0
Brown Rice Cake,Rice,78.0,8.8,3.8,3.0,389.3
Lightly Salted Rice Cakes,Rice,7.0,1.0,0.0,0.0,35.0
Basmati Rice,Rice,78.0,7.0,0.6,0.0,345.6
Brown Basmati,Rice,25.2,4.7,2.7,5.1,154.0
Farine Complète De Riz Bio,Rice,74.0,7.5,2.5,3.6,352.0
Multigrain Hoops Cereal,Rice,75.0,9.33,2.67,9.0,380.0
Snack A Jacks Minis Rice & Corn Cakes Zingy Salt & Vinegar,Rice,73.68,6.32,10.0,3.16,421.1
Microwave Wholegrain Rice,Rice,32.4,3.44,1.84,3.6,166.4
"Brown, Red & Wild Rice",Rice,29.0,3.0,2.5,2.6,157.0
Rice Coconut,Rice,12.0,0.2,2.5,0.5,72.0
Salade & Compagnie Manhattan Poulet Roti,Meat,17.0,8.2,8.8,2.8,186.0
Le Supérieur -25% De Sel - Conservation Sans Nitrite,Meat,0.5,22.0,2.8,0.0,115.0
2 Steaks Végétaux Et Gourmands,Meat,3.5,13.0,16.0,5.9,219.0
Tofu Nature,Meat,1.3,17.0,8.5,0.7,151.0
Rostlinná Slanina,Meat,7.5,15.0,15.0,3.2,290.7
Tofu Fumé,Meat,1.0,15.0,7.7,2.7,139.0
Les Tranches Végé Haricots Rouges,Meat,5.3,7.0,6.2,4.8,115.0
Naked Organic Tofu,Meat,1.1,16.5,7.8,1.9,145.7
Pechuguita De Pollo Asada Al Horno,Meat,0.4,26.8,2.0,0.0,100.0
Croq' Soja À La Provencale,Meat,4.0,14.0,8.0,7.0,172.0
Paupiette De Veau Jardinière De Légumes,Meat,7.6,8.1,4.9,2.1,123.7
Räuchertofu Mandel-Sesam,Meat,1.5,19.0,12.0,0.0,198.0
Rillettes Du Mans - La Véritable,Meat,0.4,16.2,40.5,0.0,431.0
Haché Végétal Et Gourmand,Meat,3.4,14.0,16.0,5.3,224.0
Filets De Tofu À La Japonaise,Meat,2.4,19.0,13.0,0.0,202.0
Tofu Nature À Cuisiner,Meat,0.8,14.0,9.0,2.5,145.0
Heck 97% 6 Sausages,Meat,0.0,21.62,18.02,0.0,245.9
Jamón Serrano,Meat,1.0,33.5,12.2,0.0,248.0
Lasagnes De Bœuf À La Crème De Mozzarella,Meat,11.0,6.9,10.0,0.0,164.0
